Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_28_942.jpg;0;0;1;0;99.3908;85.38546;0.0002614881;213.2774;-2.447877E-07
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_28_986.jpg;9.653129;0;0;0;99.3908;85.38546;0.0002622161;214.6029;-6.761338E-06
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_028.jpg;7.163086;0;0;0;99.3908;85.38546;0.0002634436;215.5842;-9.424672E-06
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_069.jpg;4.63675;0;0;0;99.3908;85.38546;0.0002636033;216.2646;-1.142381E-05
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_111.jpg;2.153164;0;0;0;99.39081;85.38546;0.0002633329;216.6733;-1.190968E-05
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_152.jpg;0;0;0;0;99.39081;85.38546;0.000262776;216.8057;-1.065288E-05
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_194.jpg;0;0;0;0;99.39081;85.38546;0.0002624648;216.8057;-8.839429E-06
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_236.jpg;0;0;0;0;99.39081;85.38546;0.0002617717;216.8057;-6.978449E-06
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_277.jpg;0;0;0;0;99.39081;85.38546;0.0002603383;216.8057;-4.115606E-06
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_318.jpg;0;0;0;0;99.39081;85.38546;0.0002591202;216.8057;-2.159466E-06
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_361.jpg;0.85731;0;0;0;99.39081;85.38546;0.000257943;216.8572;-2.071348E-06
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_403.jpg;2.94834;0;0;0;99.39081;85.38546;0.0002559098;217.1336;-2.930659E-06
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_445.jpg;5.0178;0;0;0;99.39081;85.38546;0.0002544503;217.6609;-3.349018E-06
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_486.jpg;7.115544;0;0;0;99.39081;85.38546;0.0002529016;218.4144;-4.572273E-06
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_528.jpg;9.238295;0.0408666;0;0;99.39075;85.38541;0.001891592;218.8925;9.556693E-05
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_568.jpg;11.71747;0.1648251;0;0.01591778;99.39026;85.38509;0.01577491;218.8483;-0.00116186
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_611.jpg;13.80684;0.2908269;0;0;99.38988;85.38481;0.02543399;218.8524;-0.001572222
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_653.jpg;15;0.4180527;0;0.02497872;99.38887;85.38393;0.05336228;218.7786;-0.000282209
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_695.jpg;15;0.5392831;0;0.03478944;99.38725;85.38233;0.1000616;218.7837;0.005093098
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_736.jpg;15;0.6661537;0;0.0636306;99.38487;85.37981;0.169386;218.9066;0.01485981
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_29_779.jpg;15;0.7903219;0;0.07592766;99.37979;85.37448;0.310506;219.3613;0.03189391
